# time [s]	phi_1 [rad]	phi_2 [rad]
4.000000000000000000e+00	2.854887713022895568e-01	7.835675993080134516e-01
4.040000000000000036e+00	2.894740965700490776e-01	7.770027583423946282e-01
4.080000000000000071e+00	2.934805018952594824e-01	7.703643860293297729e-01
4.120000000000000107e+00	2.975086145700119866e-01	7.636506720158262596e-01
4.160000000000000142e+00	3.015590912285168179e-01	7.568597192571623333e-01
4.200000000000000178e+00	3.056326198025108298e-01	7.499895382031643853e-01
4.240000000000000213e+00	3.097299216486985030e-01	7.430380404722772836e-01
4.280000000000000249e+00	3.138517538671039553e-01	7.360030319571435609e-01
4.320000000000000284e+00	3.179989118317184116e-01	7.288822052979264665e-01
4.360000000000000320e+00	3.221722319577157156e-01	7.216731316509729099e-01
4.400000000000000355e+00	3.263725947328568466e-01	7.143732516704374147e-01
4.440000000000000391e+00	3.306009280446129961e-01	7.069798656088108757e-01
4.480000000000000426e+00	3.348582108390709688e-01	6.994901224287460861e-01
4.519999999999999574e+00	3.391454771530217904e-01	6.919010078026671673e-01
4.559999999999999609e+00	3.434638205668726352e-01	6.842093308579784150e-01
4.599999999999999645e+00	3.478143991333854657e-01	6.764117095037212035e-01
4.639999999999999680e+00	3.521984408459741256e-01	6.685045541484510023e-01
4.679999999999999716e+00	3.566172497206130942e-01	6.604840495882667861e-01
4.719999999999999751e+00	3.610722125777625080e-01	6.523461348070304089e-01
4.759999999999999787e+00	3.655648066254710282e-01	6.440864803867145660e-01
4.799999999999999822e+00	3.700966079625735428e-01	6.357004631727690702e-01
4.839999999999999858e+00	3.746693011423659070e-01	6.271831377752399295e-01
4.879999999999999893e+00	3.792846899631769353e-01	6.185292044085595187e-01
4.919999999999999929e+00	3.839447096840780116e-01	6.097329724777995619e-01
4.959999999999999964e+00	3.886514409029611095e-01	6.007883192026466368e-01
5.000000000000000000e+00	3.934071253824284464e-01	5.916886424261947885e-01
5.040000000000000036e+00	3.872861645454107604e-01	6.186174995355642192e-01
5.080000000000000071e+00	3.815752307254446918e-01	6.444274701621998114e-01
5.120000000000000107e+00	3.762309623960467531e-01	6.692476545185811476e-01
5.160000000000000142e+00	3.712177761992822567e-01	6.931840229159313971e-01
5.200000000000000178e+00	3.665060518737813799e-01	7.163248257084430248e-01
5.240000000000000213e+00	3.620708283813649508e-01	7.387444776689143788e-01
5.280000000000000249e+00	3.578908455749534312e-01	7.605064116018960263e-01
5.320000000000000284e+00	3.539478256026876157e-01	7.816652170654521115e-01
5.360000000000000320e+00	3.502259245640708119e-01	8.022682715967247580e-01
5.400000000000000355e+00	3.467113075495065755e-01	8.223570042863450613e-01
5.440000000000000391e+00	3.433918147229191864e-01	8.419678881672844062e-01
5.480000000000000426e+00	3.402566956750844862e-01	8.611332293236271251e-01
5.519999999999999574e+00	3.372963957152242953e-01	8.798818014052134373e-01
